dataset,category,run,stroke_count,num_svg_strokes,num_disconnected_strokes,disconnected_stroke_ratio,disconnected_stroke_percentage,num_disconnected_endpoints,disconnected_endpoint_ratio,threshold,samples_per_curve,svg_path
SDXL_normal,airplane_0,normal_16_strokes,16,16,9,0.5625,56.25,12,0.375,10.0,100,SDXL_normal/airplane_0/normal_16_strokes/final_svg.svg
SDXL_normal,airplane_0,normal_24_strokes,24,24,9,0.375,37.5,12,0.25,10.0,100,SDXL_normal/airplane_0/normal_24_strokes/final_svg.svg
SDXL_normal,airplane_0,normal_32_strokes,32,32,10,0.3125,31.25,11,0.171875,10.0,100,SDXL_normal/airplane_0/normal_32_strokes/final_svg.svg
SDXL_normal,airplane_3,normal_16_strokes,16,16,10,0.625,62.5,16,0.5,10.0,100,SDXL_normal/airplane_3/normal_16_strokes/final_svg.svg
SDXL_normal,airplane_3,normal_24_strokes,24,24,8,0.3333333333333333,33.33333333333333,9,0.1875,10.0,100,SDXL_normal/airplane_3/normal_24_strokes/final_svg.svg
SDXL_normal,airplane_3,normal_32_strokes,32,32,10,0.3125,31.25,11,0.171875,10.0,100,SDXL_normal/airplane_3/normal_32_strokes/final_svg.svg
SDXL_normal,airplane_4,normal_16_strokes,16,16,9,0.5625,56.25,11,0.34375,10.0,100,SDXL_normal/airplane_4/normal_16_strokes/final_svg.svg
SDXL_normal,airplane_4,normal_24_strokes,24,24,9,0.375,37.5,10,0.20833333333333334,10.0,100,SDXL_normal/airplane_4/normal_24_strokes/final_svg.svg
SDXL_normal,airplane_4,normal_32_strokes,32,32,15,0.46875,46.875,19,0.296875,10.0,100,SDXL_normal/airplane_4/normal_32_strokes/final_svg.svg
SDXL_normal,airplane_5,normal_16_strokes,16,16,9,0.5625,56.25,10,0.3125,10.0,100,SDXL_normal/airplane_5/normal_16_strokes/final_svg.svg
SDXL_normal,airplane_5,normal_24_strokes,24,24,8,0.3333333333333333,33.33333333333333,10,0.20833333333333334,10.0,100,SDXL_normal/airplane_5/normal_24_strokes/final_svg.svg
SDXL_normal,airplane_5,normal_32_strokes,32,32,7,0.21875,21.875,9,0.140625,10.0,100,SDXL_normal/airplane_5/normal_32_strokes/final_svg.svg
SDXL_normal,airplane_7,normal_16_strokes,16,16,9,0.5625,56.25,10,0.3125,10.0,100,SDXL_normal/airplane_7/normal_16_strokes/final_svg.svg
SDXL_normal,airplane_7,normal_24_strokes,24,24,11,0.4583333333333333,45.83333333333333,14,0.2916666666666667,10.0,100,SDXL_normal/airplane_7/normal_24_strokes/final_svg.svg
SDXL_normal,airplane_7,normal_32_strokes,32,32,13,0.40625,40.625,16,0.25,10.0,100,SDXL_normal/airplane_7/normal_32_strokes/final_svg.svg
SDXL_normal,bicycle_1,normal_16_strokes,16,16,12,0.75,75.0,20,0.625,10.0,100,SDXL_normal/bicycle_1/normal_16_strokes/final_svg.svg
SDXL_normal,bicycle_1,normal_24_strokes,24,24,14,0.5833333333333334,58.333333333333336,19,0.3958333333333333,10.0,100,SDXL_normal/bicycle_1/normal_24_strokes/final_svg.svg
SDXL_normal,bicycle_1,normal_32_strokes,32,32,10,0.3125,31.25,12,0.1875,10.0,100,SDXL_normal/bicycle_1/normal_32_strokes/final_svg.svg
SDXL_normal,bicycle_10,normal_16_strokes,16,16,11,0.6875,68.75,18,0.5625,10.0,100,SDXL_normal/bicycle_10/normal_16_strokes/final_svg.svg
SDXL_normal,bicycle_10,normal_24_strokes,24,24,14,0.5833333333333334,58.333333333333336,16,0.3333333333333333,10.0,100,SDXL_normal/bicycle_10/normal_24_strokes/final_svg.svg
SDXL_normal,bicycle_10,normal_32_strokes,32,32,15,0.46875,46.875,18,0.28125,10.0,100,SDXL_normal/bicycle_10/normal_32_strokes/final_svg.svg
SDXL_normal,bicycle_2,normal_16_strokes,16,16,6,0.375,37.5,8,0.25,10.0,100,SDXL_normal/bicycle_2/normal_16_strokes/final_svg.svg
SDXL_normal,bicycle_2,normal_24_strokes,24,24,12,0.5,50.0,13,0.2708333333333333,10.0,100,SDXL_normal/bicycle_2/normal_24_strokes/final_svg.svg
SDXL_normal,bicycle_2,normal_32_strokes,32,32,6,0.1875,18.75,7,0.109375,10.0,100,SDXL_normal/bicycle_2/normal_32_strokes/final_svg.svg
SDXL_normal,bicycle_4,normal_16_strokes,16,16,10,0.625,62.5,13,0.40625,10.0,100,SDXL_normal/bicycle_4/normal_16_strokes/final_svg.svg
SDXL_normal,bicycle_4,normal_24_strokes,24,24,12,0.5,50.0,14,0.2916666666666667,10.0,100,SDXL_normal/bicycle_4/normal_24_strokes/final_svg.svg
