dataset,category,run,stroke_count,num_svg_strokes,num_disconnected_strokes,disconnected_stroke_ratio,disconnected_stroke_percentage,num_disconnected_endpoints,disconnected_endpoint_ratio,threshold,samples_per_curve,svg_path
SDXL_normal,airplane_0,normal_16_strokes,16,16,4,0.25,25.0,4,0.125,30.0,100,SDXL_normal/airplane_0/normal_16_strokes/final_svg.svg
SDXL_normal,airplane_0,normal_24_strokes,24,24,4,0.16666666666666666,16.666666666666664,5,0.10416666666666667,30.0,100,SDXL_normal/airplane_0/normal_24_strokes/final_svg.svg
SDXL_normal,airplane_0,normal_32_strokes,32,32,3,0.09375,9.375,3,0.046875,30.0,100,SDXL_normal/airplane_0/normal_32_strokes/final_svg.svg
SDXL_normal,airplane_3,normal_16_strokes,16,16,5,0.3125,31.25,6,0.1875,30.0,100,SDXL_normal/airplane_3/normal_16_strokes/final_svg.svg
SDXL_normal,airplane_3,normal_24_strokes,24,24,3,0.125,12.5,4,0.08333333333333333,30.0,100,SDXL_normal/airplane_3/normal_24_strokes/final_svg.svg
SDXL_normal,airplane_3,normal_32_strokes,32,32,3,0.09375,9.375,3,0.046875,30.0,100,SDXL_normal/airplane_3/normal_32_strokes/final_svg.svg
SDXL_normal,airplane_4,normal_16_strokes,16,16,5,0.3125,31.25,7,0.21875,30.0,100,SDXL_normal/airplane_4/normal_16_strokes/final_svg.svg
SDXL_normal,airplane_4,normal_24_strokes,24,24,3,0.125,12.5,4,0.08333333333333333,30.0,100,SDXL_normal/airplane_4/normal_24_strokes/final_svg.svg
SDXL_normal,airplane_4,normal_32_strokes,32,32,3,0.09375,9.375,4,0.0625,30.0,100,SDXL_normal/airplane_4/normal_32_strokes/final_svg.svg
SDXL_normal,airplane_5,normal_16_strokes,16,16,3,0.1875,18.75,3,0.09375,30.0,100,SDXL_normal/airplane_5/normal_16_strokes/final_svg.svg
SDXL_normal,airplane_5,normal_24_strokes,24,24,2,0.08333333333333333,8.333333333333332,2,0.041666666666666664,30.0,100,SDXL_normal/airplane_5/normal_24_strokes/final_svg.svg
SDXL_normal,airplane_5,normal_32_strokes,32,32,1,0.03125,3.125,1,0.015625,30.0,100,SDXL_normal/airplane_5/normal_32_strokes/final_svg.svg
SDXL_normal,airplane_7,normal_16_strokes,16,16,4,0.25,25.0,4,0.125,30.0,100,SDXL_normal/airplane_7/normal_16_strokes/final_svg.svg
SDXL_normal,airplane_7,normal_24_strokes,24,24,4,0.16666666666666666,16.666666666666664,4,0.08333333333333333,30.0,100,SDXL_normal/airplane_7/normal_24_strokes/final_svg.svg
SDXL_normal,airplane_7,normal_32_strokes,32,32,4,0.125,12.5,4,0.0625,30.0,100,SDXL_normal/airplane_7/normal_32_strokes/final_svg.svg
SDXL_normal,bicycle_1,normal_16_strokes,16,16,4,0.25,25.0,6,0.1875,30.0,100,SDXL_normal/bicycle_1/normal_16_strokes/final_svg.svg
SDXL_normal,bicycle_1,normal_24_strokes,24,24,2,0.08333333333333333,8.333333333333332,3,0.0625,30.0,100,SDXL_normal/bicycle_1/normal_24_strokes/final_svg.svg
SDXL_normal,bicycle_1,normal_32_strokes,32,32,2,0.0625,6.25,2,0.03125,30.0,100,SDXL_normal/bicycle_1/normal_32_strokes/final_svg.svg
SDXL_normal,bicycle_10,normal_16_strokes,16,16,6,0.375,37.5,11,0.34375,30.0,100,SDXL_normal/bicycle_10/normal_16_strokes/final_svg.svg
SDXL_normal,bicycle_10,normal_24_strokes,24,24,5,0.20833333333333334,20.833333333333336,5,0.10416666666666667,30.0,100,SDXL_normal/bicycle_10/normal_24_strokes/final_svg.svg
SDXL_normal,bicycle_10,normal_32_strokes,32,32,3,0.09375,9.375,4,0.0625,30.0,100,SDXL_normal/bicycle_10/normal_32_strokes/final_svg.svg
SDXL_normal,bicycle_2,normal_16_strokes,16,16,3,0.1875,18.75,3,0.09375,30.0,100,SDXL_normal/bicycle_2/normal_16_strokes/final_svg.svg
SDXL_normal,bicycle_2,normal_24_strokes,24,24,2,0.08333333333333333,8.333333333333332,2,0.041666666666666664,30.0,100,SDXL_normal/bicycle_2/normal_24_strokes/final_svg.svg
SDXL_normal,bicycle_2,normal_32_strokes,32,32,0,0.0,0.0,0,0.0,30.0,100,SDXL_normal/bicycle_2/normal_32_strokes/final_svg.svg
SDXL_normal,bicycle_4,normal_16_strokes,16,16,5,0.3125,31.25,7,0.21875,30.0,100,SDXL_normal/bicycle_4/normal_16_strokes/final_svg.svg
SDXL_normal,bicycle_4,normal_24_strokes,24,24,3,0.125,12.5,4,0.08333333333333333,30.0,100,SDXL_normal/bicycle_4/normal_24_strokes/final_svg.svg
SDXL_normal,bicycle_4,normal_32_strokes,32,32,0,0.0,0.0,0,0.0,30.0,100,SDXL_normal/bicycle_4/normal_32_strokes/final_svg.svg
SDXL_normal,bicycle_7,normal_16_strokes,16,16,2,0.125,12.5,3,0.09375,30.0,100,SDXL_normal/bicycle_7/normal_16_strokes/final_svg.svg
